time,state,action,new_state,cost,new_state_val,total_cost
8,"[0, 0, 0]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 0]",1000.2515454609,-400.0,600.2515454609
8,"[0, 0, 5]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 5]",1000.2515454609,-400.0,600.2515454609
8,"[0, 0, 10]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 10]",1000.2515454609,-400.0,600.2515454609
8,"[0, 0, 15]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 15]",1000.2515454609,-400.0,600.2515454609
8,"[0, 0, 20]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 20]",1000.2515454609,-400.0,600.2515454609
8,"[0, 5, 0]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 0]",1000.2515454609,-400.0,600.2515454609
8,"[0, 5, 5]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 5]",1000.2515454609,-400.0,600.2515454609
8,"[0, 5, 10]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 10]",1000.2515454609,-400.0,600.2515454609
8,"[0, 5, 15]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 15]",1000.2515454609,-400.0,600.2515454609
8,"[0, 5, 20]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 20]",1000.2515454609,-400.0,600.2515454609
8,"[0, 10, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-200.0,-400.0,-600.0
8,"[0, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-200.0,-400.0,-600.0
8,"[0, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",-200.0,-400.0,-600.0
8,"[0, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",-200.0,-400.0,-600.0
8,"[0, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 20]",-200.0,-400.0,-600.0
8,"[0, 15, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",-200.0,-400.0,-600.0
8,"[0, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",-200.0,-400.0,-600.0
